IDOJ1_TipoOrgJurídica;IDAIO_AñoInicio;CONSUI_ConsumoIntermedio;SUELDOS_salariosAño;PRESTAC;TOTPERSO_PersonalTotal;VENTA
14;2013;5119522;2245023;853897;36;13938361
14;2012;897585;488306;192454;38;7888024
14;2012;101646;378344;150981;36;22141896
14;2013;2394222;1197035;459718;27;22702237
14;2013;641952;525491;205556;38;10779544
14;2013;133327;39267;15534;2;59814
14;2013;3258414;1163584;552758;99;15818951
14;2013;290462;353039;119623;28;2238046
4;1992;1723881;1289319;551938;59;45239817
14;1975;374412;288580;118571;25;8879227
4;1998;153476;179194;66529;13;1567584
4;2000;350093;323799;126962;23;5473955
14;2001;271317;243798;83202;18;8648395
14;2003;25724448;9410965;3623151;400;259519756
9;1998;489281;283596;123402;23;11720656
3;2010;1069523;394069;160001;26;14337986
14;2010;315558;505537;164583;28;9329134
5;1996;5311427;6129513;2401082;501;131232379
12;1996;343501;158228;82558;13;4372276
4;1999;629940;693028;265579;40;14424626
99;2004;413335;501920;279975;22;15472265
14;2000;263700;318998;138380;16;6369909
14;2009;663407;379841;188331;25;4164983
14;2011;2540720;1103600;507449;60;44029256
5;1994;161877;63981;32923;6;1614993
5;1998;563121;451633;206279;28;4075460
14;2001;6695761;1349013;559103;76;75948541
14;2006;1017781;645909;167755;50;13490345
14;1995;663012;247282;98665;23;3087875
14;2002;1138371;272778;111811;49;5567307
14;1998;18886869;16120985;7263101;1001;89397801
14;2001;1003093;641162;285652;45;6617178
14;2003;1627253;1187403;535667;73;27732912
4;2004;774689;1132895;427861;52;17195711
9;2004;787945;551756;240416;53;22488106
14;1995;302552;292649;123523;22;15157859
4;1981;1406112;924565;593932;53;24098260
14;2005;2182584;2124206;790896;188;11727478
5;2006;595843;570475;196226;27;9904909
14;2007;402703;154235;64560;14;2942192
14;2008;402360;392725;172252;32;8652868
5;2008;362811;542497;178645;43;10640764
14;2009;597829;0;0;13;895355
4;2010;656555;429810;154326;31;11898203
14;2009;705025;3303583;1206080;166;32650476
14;2010;2013632;1569436;633520;54;69890968
14;2012;74670;63216;25474;6;1958799
14;2011;6068904;3487507;1236897;214;54248966
14;2000;550343;2600696;1325458;191;172274960
4;1973;300996;148384;55367;11;3754791
14;2010;1066810;2083933;855389;68;59706917
14;2001;158709;1238016;550383;100;3628567
4;1991;210819;176881;56062;15;2523433
14;1999;5555385;2726946;1079807;128;104131018
4;1996;451487;143837;54881;27;7835704
14;1999;873665;624821;227239;32;8034064
14;2003;1535012;818261;331883;56;21037187
2;1997;1287008;614643;232588;55;6440112
4;2004;1289254;1363975;577355;113;26783073
14;1983;718294;397461;210968;25;9291968
4;1985;740305;809887;279279;31;3223352
14;2006;984608;946559;340835;55;7331703
14;2007;362783;1103972;383101;38;7263541
14;2007;6087828;7154392;2025687;323;57761962
5;2008;2249934;1098580;468700;61;26065736
5;2009;2525057;1355501;707822;65;30613319
14;2009;390602;446994;232489;22;3953446
14;2011;344924;350186;144661;14;4887974
14;2012;260969;60299;23312;7;1863320
14;2013;2340576;1393234;628854;84;28150302
14;2013;557119;622332;235188;28;16753325
3;2013;402765;1240448;626980;59;11238310
