IDOJ1_TipoOrgJurídica,IDAIO_AñoInicio,CONSUI_ConsumoIntermedio,SUELDOS_salariosAño,PRESTAC,TOTPERSO_PersonalTotal,VENTA
14,2010,muy alto,muy alto,muy alto,alto,muy altas
14,2010,medio,alto,alto,medio,medias
14,2010,alto,alto,alto,alto,altas
14,2010,alto,muy alto,muy alto,muy alto,muy altas
14,2011,medio,alto,medio,alto,altas
14,2011,bajo,bajo,bajo,bajo,bajas
14,2011,alto,alto,alto,muy alto,bajas
14,2011,muy alto,muy alto,muy alto,muy alto,muy altas
14,2011,bajo,bajo,bajo,bajo,bajas
4,2011,medio,alto,alto,alto,muy altas
14,2011,alto,muy alto,muy alto,muy alto,muy altas
14,2011,medio,medio,medio,alto,medias
14,2011,bajo,medio,medio,alto,bajas
14,2011,alto,alto,alto,alto,muy altas
14,2011,muy alto,muy alto,muy alto,muy alto,altas
14,2011,alto,muy alto,muy alto,muy alto,muy altas
14,2011,muy alto,muy alto,muy alto,muy alto,altas
14,2011,muy alto,alto,muy alto,muy alto,altas
14,2013,muy alto,muy alto,muy alto,muy alto,muy altas
14,2011,muy alto,muy alto,muy alto,alto,muy altas
14,2012,muy alto,muy alto,muy alto,muy alto,muy altas
14,2012,muy alto,alto,alto,muy alto,muy altas
14,2013,muy alto,muy alto,muy alto,alto,altas
14,2012,alto,alto,alto,alto,altas
14,2012,bajo,alto,alto,alto,muy altas
14,2013,muy alto,muy alto,muy alto,alto,muy altas
14,2013,alto,alto,alto,alto,altas
14,2013,bajo,bajo,bajo,bajo,bajas
14,2013,muy alto,muy alto,muy alto,muy alto,altas
14,2013,medio,alto,medio,alto,bajas
4,1992,muy alto,muy alto,muy alto,muy alto,muy altas
14,1975,medio,medio,medio,alto,altas
4,1998,bajo,medio,bajo,medio,bajas
4,2000,medio,medio,medio,alto,medias
14,2001,medio,medio,medio,medio,altas
14,2003,muy alto,muy alto,muy alto,muy alto,muy altas
9,1998,alto,medio,medio,alto,altas
3,2010,muy alto,alto,alto,alto,altas
14,2010,medio,alto,alto,alto,altas
5,1996,muy alto,muy alto,muy alto,muy alto,muy altas
12,1996,medio,bajo,medio,medio,medias
4,1999,alto,alto,alto,alto,altas
99,2004,alto,alto,alto,alto,altas
14,2000,medio,medio,medio,medio,medias
14,2009,alto,alto,alto,alto,medias
14,2011,muy alto,muy alto,muy alto,muy alto,muy altas
5,1994,bajo,bajo,bajo,bajo,bajas
5,1998,alto,alto,alto,alto,medias
14,2001,muy alto,muy alto,muy alto,muy alto,muy altas
14,2006,alto,alto,alto,muy alto,altas
14,1995,alto,medio,medio,alto,medias
14,2002,muy alto,medio,medio,muy alto,medias
14,1998,muy alto,muy alto,muy alto,muy alto,muy altas
14,2001,alto,alto,alto,alto,medias
14,2003,muy alto,muy alto,muy alto,muy alto,muy altas
4,2004,alto,muy alto,muy alto,muy alto,altas
9,2004,alto,alto,alto,muy alto,muy altas
14,1995,medio,medio,medio,alto,altas
4,1981,muy alto,muy alto,muy alto,muy alto,muy altas
14,2005,muy alto,muy alto,muy alto,muy alto,altas
5,2006,alto,alto,alto,alto,altas
14,2007,medio,bajo,bajo,medio,medias
14,2008,medio,alto,alto,alto,altas
5,2008,medio,alto,alto,alto,altas
14,2009,alto,bajo,bajo,medio,bajas
4,2010,alto,alto,alto,alto,altas
14,2009,alto,muy alto,muy alto,muy alto,muy altas
14,2010,muy alto,muy alto,muy alto,muy alto,muy altas
14,2012,bajo,bajo,bajo,bajo,bajas
14,2011,muy alto,muy alto,muy alto,muy alto,muy altas
14,2000,alto,muy alto,muy alto,muy alto,muy altas
4,1973,medio,bajo,bajo,bajo,medias
14,2010,alto,muy alto,muy alto,muy alto,muy altas
14,2001,bajo,muy alto,muy alto,muy alto,medias
4,1991,medio,medio,bajo,medio,bajas
14,1999,muy alto,muy alto,muy alto,muy alto,muy altas
4,1996,alto,bajo,bajo,alto,altas
14,1999,alto,alto,alto,alto,altas
14,2003,muy alto,alto,alto,muy alto,muy altas
2,1997,muy alto,alto,alto,muy alto,medias
4,2004,muy alto,muy alto,muy alto,muy alto,muy altas
14,1983,alto,alto,alto,alto,altas
4,1985,alto,alto,alto,alto,medias
14,2006,alto,muy alto,alto,muy alto,altas
14,2007,medio,muy alto,muy alto,alto,altas
14,2007,muy alto,muy alto,muy alto,muy alto,muy altas
5,2008,muy alto,muy alto,muy alto,muy alto,muy altas
5,2009,muy alto,muy alto,muy alto,muy alto,muy altas
14,2009,medio,alto,alto,alto,medias
14,2011,medio,alto,alto,medio,medias
14,2012,medio,bajo,bajo,bajo,bajas
14,2013,muy alto,muy alto,muy alto,muy alto,muy altas
14,2013,alto,alto,alto,alto,altas
3,2013,medio,muy alto,muy alto,muy alto,altas
14,2013,alto,alto,medio,alto,medias
14,1997,alto,muy alto,muy alto,muy alto,muy altas
14,2006,muy alto,muy alto,muy alto,muy alto,muy altas
14,2009,alto,bajo,bajo,bajo,medias
14,1994,medio,alto,alto,alto,altas
4,2000,muy alto,muy alto,muy alto,muy alto,muy altas
14,2004,muy alto,muy alto,muy alto,muy alto,muy altas
14,2010,alto,alto,alto,muy alto,medias
14,2011,muy alto,muy alto,muy alto,muy alto,muy altas
14,1988,muy alto,muy alto,muy alto,muy alto,muy altas
5,2003,medio,medio,medio,alto,medias
4,2005,muy alto,muy alto,muy alto,muy alto,muy altas
14,2007,medio,medio,medio,medio,medias
14,2012,alto,alto,alto,alto,muy altas
99,2001,alto,alto,alto,medio,altas
5,2006,muy alto,muy alto,muy alto,muy alto,muy altas
14,2009,medio,alto,alto,muy alto,medias
14,2005,alto,alto,alto,alto,altas
4,1993,alto,alto,alto,alto,altas
14,2012,alto,alto,alto,alto,altas
14,1992,alto,muy alto,muy alto,muy alto,altas
14,2009,alto,alto,alto,alto,bajas
14,2011,bajo,alto,alto,muy alto,altas
99,1993,alto,alto,alto,alto,altas
14,1995,muy alto,muy alto,muy alto,muy alto,muy altas
14,1994,muy alto,muy alto,muy alto,muy alto,muy altas
14,1994,alto,muy alto,muy alto,alto,altas
14,1996,bajo,alto,alto,alto,bajas
5,1996,muy alto,muy alto,muy alto,muy alto,muy altas
14,1996,medio,alto,alto,medio,altas
14,1996,muy alto,muy alto,muy alto,muy alto,muy altas
14,1997,muy alto,muy alto,muy alto,muy alto,muy altas
14,1998,alto,muy alto,muy alto,alto,altas
4,2004,medio,bajo,bajo,medio,bajas
5,2001,muy alto,muy alto,muy alto,muy alto,muy altas
14,2002,muy alto,muy alto,muy alto,muy alto,altas
5,2003,medio,medio,alto,medio,medias
14,2004,alto,medio,medio,alto,medias
14,2004,alto,muy alto,muy alto,muy alto,medias
14,1999,medio,alto,alto,medio,medias
14,2004,muy alto,muy alto,muy alto,muy alto,muy altas
14,1979,alto,alto,alto,medio,medias
14,1985,muy alto,muy alto,muy alto,alto,medias
14,2005,medio,medio,medio,medio,medias
5,2006,muy alto,muy alto,muy alto,muy alto,muy altas
5,2007,muy alto,muy alto,muy alto,muy alto,muy altas
14,2009,muy alto,alto,alto,muy alto,muy altas
14,2011,muy alto,muy alto,alto,muy alto,muy altas
14,2010,muy alto,muy alto,muy alto,muy alto,muy altas
14,2010,bajo,bajo,bajo,medio,altas
14,2010,muy alto,muy alto,alto,muy alto,altas
14,2011,alto,alto,alto,medio,muy altas
14,2011,muy alto,muy alto,muy alto,muy alto,muy altas
14,2011,muy alto,alto,alto,muy alto,altas
14,2011,medio,medio,medio,medio,medias
13,1997,alto,alto,alto,alto,altas
14,1997,alto,bajo,bajo,medio,altas
14,2011,alto,alto,alto,alto,altas
14,1999,alto,medio,medio,alto,medias
5,2009,medio,medio,medio,bajo,bajas
14,2011,alto,alto,alto,alto,medias
4,2006,alto,medio,medio,bajo,altas
4,2007,alto,alto,alto,alto,altas
14,2005,medio,medio,medio,alto,medias
14,2009,medio,muy alto,alto,alto,medias
14,1985,alto,alto,alto,alto,altas
5,2010,bajo,medio,medio,medio,bajas
2,1997,muy alto,muy alto,muy alto,medio,altas
14,1993,medio,medio,medio,alto,bajas
4,2004,alto,alto,medio,medio,medias
14,2005,medio,bajo,bajo,bajo,bajas
14,2013,medio,alto,alto,medio,medias
14,2011,medio,bajo,bajo,bajo,bajas
5,2005,muy alto,muy alto,muy alto,muy alto,altas
14,2010,alto,alto,alto,alto,altas
4,1983,alto,medio,medio,bajo,bajas
14,2014,alto,medio,bajo,medio,muy altas
2,2006,alto,medio,medio,medio,medias
14,1993,alto,alto,alto,medio,medias
14,1996,medio,alto,medio,bajo,bajas
4,2005,alto,alto,alto,medio,medias
4,2003,alto,bajo,bajo,bajo,bajas
4,2008,medio,bajo,bajo,bajo,medias
7,2002,muy alto,alto,alto,bajo,muy altas
14,1991,medio,alto,alto,medio,altas
4,1996,medio,medio,medio,medio,medias
14,2010,muy alto,muy alto,muy alto,alto,muy altas
14,2000,bajo,bajo,bajo,bajo,bajas
14,2008,muy alto,muy alto,muy alto,alto,altas
